SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
101,Solana,SOL,29-11-2020 23:59,194388507,185722661,18879127,19151547,6.14E+14,8.81E+15
102,Solana,SOL,30-11-2020 23:59,201359128,191193024,191514202,196689116,8.72E+14,9.10E+15
103,Solana,SOL,01-12-2020 23:59,213034079,193226448,196832128,197630826,1.28E+15,9.14E+15
104,Solana,SOL,02-12-2020 23:59,218743712,195669982,197726604,211540134,1.58E+15,9.79E+15
105,Solana,SOL,03-12-2020 23:59,222130954,208502961,211711685,210037052,1.81E+15,9.72E+14
106,Solana,SOL,04-12-2020 23:59,21120709,184734502,209860247,185595318,9.02E+14,8.59E+15
107,Solana,SOL,05-12-2020 23:59,198072151,182549378,185596843,19787738,7.75E+14,9.15E+15
108,Solana,SOL,06-12-2020 23:59,198389847,181585445,197865844,185424895,7.17E+14,8.58E+15
109,Solana,SOL,07-12-2020 23:59,189568762,180948486,18534511,183117262,6.43E+14,8.47E+15
110,Solana,SOL,08-12-2020 23:59,183158113,164510584,183122209,166535169,1.13E+14,7.70E+15
111,Solana,SOL,09-12-2020 23:59,167427719,150367604,166462243,16623035,1.05E+15,7.69E+14
112,Solana,SOL,10-12-2020 23:59,166513513,154524047,166241416,157415052,6.17E+14,7.28E+15
113,Solana,SOL,11-12-2020 23:59,157670934,144060217,157236639,144458505,8.27E+14,6.68E+14
114,Solana,SOL,12-12-2020 23:59,153742939,144070645,144158958,14909121,7.09E+14,6.90E+14
115,Solana,SOL,13-12-2020 23:59,164291571,145811848,14907147,156545586,8.39E+14,7.24E+15
116,Solana,SOL,14-12-2020 23:59,162286872,152369835,156796842,15916455,8.67E+14,7.40E+15
117,Solana,SOL,15-12-2020 23:59,179941298,158926257,159103004,176067126,1.95E+15,8.20E+14
118,Solana,SOL,16-12-2020 23:59,178758439,161001834,176009215,178359783,1.83E+15,8.31E+15
119,Solana,SOL,17-12-2020 23:59,180312043,165521696,178389234,167863414,1.55E+15,7.82E+15
120,Solana,SOL,18-12-2020 23:59,170632716,163698718,167902372,169879993,7.88E+14,7.91E+14
121,Solana,SOL,19-12-2020 23:59,176425374,166426344,169926697,166865052,9.10E+14,7.77E+15
122,Solana,SOL,20-12-2020 23:59,168443034,152771357,167071446,156357617,9.09E+14,7.28E+15
123,Solana,SOL,21-12-2020 23:59,161832646,149515066,156377465,15419152,8.33E+14,7.18E+15
124,Solana,SOL,22-12-2020 23:59,157408037,147448471,153960926,149028596,1.11E+15,6.94E+15
125,Solana,SOL,23-12-2020 23:59,151058483,109016138,149022047,120569231,1.68E+15,5.61E+15
126,Solana,SOL,24-12-2020 23:59,138366788,117300697,120770464,13624084,9.24E+14,6.34E+14
127,Solana,SOL,25-12-2020 23:59,145292425,134723574,136149641,144540315,9.36E+14,6.73E+14
128,Solana,SOL,26-12-2020 23:59,144751724,131342435,144601353,13242381,6.80E+14,6.17E+15
129,Solana,SOL,27-12-2020 23:59,140874461,126825036,132507424,130304194,1.23E+15,6.07E+15
130,Solana,SOL,28-12-2020 23:59,151703752,129434876,130399327,15156849,1.27E+15,7.06E+14
131,Solana,SOL,29-12-2020 23:59,172758155,143971994,151546171,167434488,2.64E+15,7.80E+15
132,Solana,SOL,30-12-2020 23:59,168079114,152983347,166969419,153545722,1.27E+15,7.15E+14
133,Solana,SOL,31-12-2020 23:59,15506101,1430263,153560627,151089796,1.28E+15,7.04E+15
134,Solana,SOL,01-01-2021 23:59,18596563,150203819,150977505,184208404,2.57E+14,8.58E+14
135,Solana,SOL,02-01-2021 23:59,198929513,172148226,184558571,179927479,3.17E+15,8.38E+15
136,Solana,SOL,03-01-2021 23:59,236498131,179990169,179990169,216175192,5.51E+15,1.01E+16
137,Solana,SOL,04-01-2021 23:59,248509738,187634191,216241208,248509738,6.00E+15,1.16E+16
138,Solana,SOL,05-01-2021 23:59,25026164,207774168,249098205,215721704,5.06E+15,1.00E+16
139,Solana,SOL,06-01-2021 23:59,218589242,190758532,215962593,192921661,5.03E+15,8.98E+14
140,Solana,SOL,07-01-2021 23:59,261183107,193304323,193658582,237274497,1.60E+15,6.21E+14
141,Solana,SOL,08-01-2021 23:59,377931969,218092864,236873958,321988746,2.06E+15,8.43E+15
142,Solana,SOL,09-01-2021 23:59,366278779,293830706,322354051,338538175,9.19E+13,8.87E+15
143,Solana,SOL,10-01-2021 23:59,373355136,319623456,339002648,346611077,6.28E+15,9.08E+15
144,Solana,SOL,11-01-2021 23:59,35135707,259712418,346106454,310808978,8.29E+14,8.14E+15
145,Solana,SOL,12-01-2021 23:59,384441586,308003501,310368771,361339822,7.35E+15,9.46E+15
146,Solana,SOL,13-01-2021 23:59,362882465,32749211,362838265,351378151,5.80E+15,9.20E+15
147,Solana,SOL,14-01-2021 23:59,354286624,318197394,351603553,327816427,5.93E+15,8.59E+15
148,Solana,SOL,15-01-2021 23:59,34359218,29851908,328039932,325016139,4.53E+15,8.51E+15
149,Solana,SOL,16-01-2021 23:59,370323219,324893408,324893408,344705468,6.80E+15,9.03E+15
150,Solana,SOL,17-01-2021 23:59,396537224,331974552,343486962,38181391,8.54E+15,1.00E+16
151,Solana,SOL,18-01-2021 23:59,414791988,365576095,382213112,379551495,7.06E+15,9.94E+14
152,Solana,SOL,19-01-2021 23:59,403144938,360902285,379204335,364186566,4.45E+15,9.54E+15
153,Solana,SOL,20-01-2021 23:59,373700272,334408399,363557521,372357809,4.67E+15,9.75E+15
154,Solana,SOL,21-01-2021 23:59,373432626,298269599,372166979,29905359,4.38E+15,7.83E+15
155,Solana,SOL,22-01-2021 23:59,349714626,25409861,298991993,334622852,6.34E+15,8.76E+15
156,Solana,SOL,23-01-2021 23:59,359730162,331576248,334103533,350411155,2.79E+14,9.18E+15
157,Solana,SOL,24-01-2021 23:59,379304897,348949442,350710975,363441116,3.27E+15,9.52E+15
158,Solana,SOL,25-01-2021 23:59,397435677,345130995,363464538,369998081,8.01E+14,9.69E+15
159,Solana,SOL,26-01-2021 23:59,409691637,368263202,369895927,404734996,7.88E+15,1.06E+16
160,Solana,SOL,27-01-2021 23:59,404863024,353160203,404863024,369058715,3.52E+15,9.67E+14
161,Solana,SOL,28-01-2021 23:59,39434911,360988056,368637,382207194,3141052672,1.00E+11
162,Solana,SOL,29-01-2021 23:59,389260163,363938585,386158092,383467598,4405315139,1.00E+11
163,Solana,SOL,30-01-2021 23:59,431197598,377410389,383768176,422427558,5337819761,1.11E+11
164,Solana,SOL,31-01-2021 23:59,478701008,417049821,423731385,426414404,7837626682,1.12E+11
